index,Date_DateTime,Date_DateStr,SDN,CRUISE,STATION,LON,LAT,date,lon_W,Chla_PACE,KD490,KD490_PAR,opt_depth,Chl435,Chl470
50,2024-04-25 13:25:14.880002,2024-04-25,739367.5592,1902637,48,-20.35326683,57.909286,2024-25-25,-20.35326683,0.3691665530204773,0.056188523048128,0.09407412230945,17.797228788937083,0.065212873,0.015938334
53,2024-05-10 13:29:16.800003,2024-05-10,739382.562,1902637,51,-19.4984285,58.39767867,2024-29-10,-19.4984285,0.2770212888717651,0.0492457816208101,0.0849701806849207,20.306307811295305,0.065700002,0.020179287
62,2024-06-24 13:25:14.880002,2024-06-24,739427.5592,1902637,60,-17.70636367,60.37930383,2024-25-24,-17.70636367,0.6506055593490601,0.0745191762398693,0.1153923287970854,13.419364658314333,0.0656999315,0.015489688000000001
63,2024-06-29 13:29:16.800003,2024-06-29,739432.562,1902637,61,-18.35159617,60.63462433,2024-29-29,-18.35159617,0.5990987420082092,0.0713986266781222,0.1119552950411939,14.005871632632084,0.065036419,0.015938334
66,2024-07-22 13:27:15.839997,2024-07-22,739455.5606,1902637,64,-19.78592567,60.10745883,2024-27-22,-19.78592567,0.8315267562866211,0.0848930299047421,0.1264432767306123,11.779530087712647,0.064240802,0.0146
112,2024-04-09 13:23:57.120003,2024-04-09,739351.5583,4903739,44,-22.81851083,42.31525883,2024-23-09,-22.81851083,0.3393736481666565,0.0540136302143557,0.0913061598572479,18.51384541330496,0.0438,0.032485001
116,2024-05-03 13:20:03.839997,2024-05-03,739375.5556,4903739,48,-22.48123883,42.6145425,2024-20-03,-22.48123883,0.3720915019512176,0.0563988755529046,0.0943382887889602,17.7308499539491,0.0438,0.03228591
117,2024-05-09 13:23:57.120003,2024-05-09,739381.5583,4903739,49,-22.715911,42.72658283,2024-23-09,-22.715911,0.4088466465473175,0.058997703104328,0.0975547195019892,16.949812405945007,0.0438,0.031983126
185,2024-04-14 13:23:05.280000,2024-04-14,739356.5577,4903740,55,-12.7630885,49.41575467,2024-23-14,-12.7630885,0.3756512999534607,0.0566541529272446,0.0946580720555547,17.65095669657617,0.0665108905,0.0219
202,2024-07-12 13:18:02.880001,2024-07-12,739445.5542,4903740,72,-13.33614667,51.66843867,2024-18-12,-13.33614667,0.3102648854255676,0.0518271860165845,0.0884501402511708,19.294892832499205,0.066050961,0.0219
204,2024-07-30 13:21:04.320005,2024-07-30,739463.5563,4903740,74,-12.75196967,50.68646,2024-21-30,-12.75196967,0.4747245609760284,0.0634716342912956,0.1029105744574202,15.755069349729006,0.06644214400000001,0.0219
